accuracy,communication_rounds,dpMode,foldPrivacytest,foldTest,labelColumn,noiseScale,numClients,status,testnum,C,delta,epsilon,L,alpha,lambda_,max_iter,tolerance
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,63_123141685,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,64_255829161,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,65_494761785,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,66_721599921,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,67_890272481,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,68_104308827,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,69_321854009,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,70_555981835,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,71_813860867,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,72_2269351,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,73_280960612,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,74_470384939,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,75_871051782,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,76_92133217,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,77_357763085,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,78_611552322,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,79_817296730,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,80_154349852,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,81_446953968,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,82_3121327,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,83_378767352,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,84_5593820,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,85_608878746,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,86_997736837,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,87_557360427,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,88_864655590,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,4,finished,89_517067483,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,60|89,30|59,target,None,3,finished,90_989951099,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,92_276443314,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,93_430180433,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,94_685179105,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,95_928281200,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,96_95149845,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,97_229965648,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,98_437553753,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,99_718686758,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,100_901268078,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.6666666666666666,5,noDP,60|89,30|59,target,None,1,finished,101_177902202,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,102_372373517,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,103_596957593,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,60|89,30|59,target,None,2,finished,104_800092935,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
